Designator,Mid X,Mid Y,Rotation,Layer
BT1,132.0,-82.2,90.0,top
D1,190.5,-71.612499,90.0,top
D10,188.1,-75.087501,90.0,top
D11,188.1,-78.587501,90.0,top
D12,188.1,-82.087501,90.0,top
D13,188.1,-85.712499,90.0,top
D14,188.2,-89.212499,90.0,top
D15,188.2,-93.012499,90.0,top
D16,188.2,-96.7,90.0,top
D17,185.6,-71.512499,90.0,top
D18,185.6,-74.9,90.0,top
D19,185.6,-78.512499,90.0,top
D2,190.5,-75.1,90.0,top
D20,185.7,-82.012499,90.0,top
D21,185.7,-85.612499,90.0,top
D22,185.8,-89.187501,90.0,top
D23,185.9,-92.912499,90.0,top
D24,185.9,-96.6,90.0,top
D25,183.3,-71.512499,90.0,top
D26,183.4,-74.987501,90.0,top
D27,183.5,-78.512499,90.0,top
D28,183.6,-81.987501,90.0,top
D29,183.7,-85.612499,90.0,top
D3,190.5,-78.712499,90.0,top
D30,183.8,-89.212499,90.0,top
D31,183.9,-93.012499,90.0,top
D32,183.9,-96.512499,90.0,top
D33,181.0,-71.512499,90.0,top
D34,181.0,-74.9,90.0,top
D35,181.1,-78.512499,90.0,top
D36,181.1,-82.012499,90.0,top
D37,181.2,-85.612499,90.0,top
D38,181.2,-89.212499,90.0,top
D39,181.3,-92.912499,90.0,top
D4,190.5,-82.187501,90.0,top
D40,181.3,-96.512499,90.0,top
D41,178.9,-71.612499,90.0,top
D42,179.0,-74.887501,90.0,top
D43,179.1,-78.412499,90.0,top
D44,179.1,-82.012499,90.0,top
D45,179.2,-85.587501,90.0,top
D46,179.2,-89.187501,90.0,top
D47,179.2,-92.812499,90.0,top
D48,179.3,-96.512499,90.0,top
D49,176.7,-71.612499,90.0,top
D5,190.5,-85.712499,90.0,top
D50,176.7,-74.912499,90.0,top
D51,176.8,-78.412499,90.0,top
D52,176.8,-82.012499,90.0,top
D53,176.8,-85.487501,90.0,top
D54,176.8,-89.112499,90.0,top
D55,176.8,-92.712499,90.0,top
D56,176.8,-96.487501,90.0,top
D57,174.5,-71.587501,90.0,top
D58,174.5,-74.912499,90.0,top
D59,174.5,-78.412499,90.0,top
D6,190.5,-89.312499,90.0,top
D60,174.6,-82.012499,90.0,top
D61,174.6,-85.412499,90.0,top
D62,174.7,-89.0,90.0,top
D63,174.7,-92.7,90.0,top
D64,174.8,-96.512499,90.0,top
D7,190.5,-93.012499,90.0,top
D8,190.5,-96.712499,90.0,top
D9,188.0,-71.612499,90.0,top
R1,171.625,-72.4,180.0,top
R13,174.4,-68.025,270.0,top
R14,176.7,-67.975,270.0,top
R15,179.1,-67.9,270.0,top
R16,181.0,-67.875,270.0,top
R17,183.3,-67.875,270.0,top
R18,185.6,-67.925,270.0,top
R19,188.1,-67.9,270.0,top
R2,171.675,-75.7,180.0,top
R20,190.5,-67.925,270.0,top
R3,171.675,-79.3,180.0,top
R4,171.775,-82.9,180.0,top
R5,171.875,-86.3,180.0,top
R6,171.875,-89.9,180.0,top
R7,171.975,-93.4,180.0,top
R8,171.875,-97.4,180.0,top
SW1,151.2,-84.149999,90.0,top
U1,151.075,-70.775,0.0,top
